protein_Id	description	nrPeptides	fasta.id	Protein.Group.2	IDcolumn	CON	REV	modelName	contrast	diff	std.error	avgAbd	statistic	df	p.value	conf.low	conf.high	sigma	FDR
A0A075B767	Peptidyl-prolyl cis-trans isomerase A-like 4H OS=Homo sapiens OX=9606 GN=PPIAL4H PE=3 SV=1	1	sp|A0A075B767|PAL4H_HUMAN	A0A075B767	A0A075B767	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	1.92106602740577	1.09148449132571	21.8877139735824	2.15510752939564	9.1429929367117	0.0590748218969801	-0.923897597005594	4.76602965181713	1.26063205344251	0.392285553390184
A0A096LP01	Small integral membrane protein 26 OS=Homo sapiens OX=9606 GN=SMIM26 PE=3 SV=1	2	sp|A0A096LP01|SIM26_HUMAN	A0A096LP01	A0A096LP01	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.0947170657752458	0.0827156366862334	20.1873230387329	0.720489351066357	9.1429929367117	0.489233706558105	-0.324852559180756	0.514286690731248	0.185915529229245	0.604368423046085
A0A0B4J2A2	Peptidyl-prolyl cis-trans isomerase A-like 4C OS=Homo sapiens OX=9606 GN=PPIAL4C PE=2 SV=1	1	sp|A0A0B4J2A2|PAL4C_HUMAN	A0A0B4J2A2	A0A0B4J2A2	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.226593974032279	0.280447090531649	20.5940578588	0.892863422892214	9.1429929367117	0.394823050693244	-0.583371849847171	1.03655979791173	0.358904019374473	0.527546027153837
A0A0B4J2D5	Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3B PE=5 SV=1	13	sp|A0A0B4J2D5|GAL3B_HUMAN	A0A0B4J2D5	A0A0B4J2D5	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-0.775423343499585	0.391345538509428	21.3005601897832	-2.30372549868602	9.1429929367117	0.0462833536635348	-1.84968855474015	0.298841867740978	0.476017741516202	0.392285553390184
A0A0B4J2F0	Protein PIGBOS1 OS=Homo sapiens OX=9606 GN=PIGBOS1 PE=1 SV=1	1	sp|A0A0B4J2F0|PIOS1_HUMAN	A0A0B4J2F0	A0A0B4J2F0	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-1.19003164428286	0.626753461118782	20.4435466220931	-2.28777539825105	9.1429929367117	0.0475145568160968	-2.85018609739002	0.470122808824289	0.735631169163093	0.392285553390184
A0A0B4J2F2	Putative serine/threonine-protein kinase SIK1B OS=Homo sapiens OX=9606 GN=SIK1B PE=5 SV=1	2	sp|A0A0B4J2F2|SIK1B_HUMAN	A0A0B4J2F2	A0A0B4J2F2	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.0371923405080316	0.122000835442394	18.8781601493265	0.247619047778939	9.1429929367117	0.809900548153985	-0.442179843747903	0.516564524763967	0.212414645943607	0.864131068727213
A0A1B0GUA7	Testis-expressed protein 51 OS=Homo sapiens OX=9606 GN=TEX51 PE=3 SV=1	1	sp|A0A1B0GUA7|TEX51_HUMAN	A0A1B0GUA7	A0A1B0GUA7	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-0.296044565673536	0.309368856871382	18.865577801062	-1.07792841741118	7.1429929367117	0.316116507858169	-1.08820865985181	0.49611952850474	0.336366550557047	0.465578495566047
A0AV96	RNA-binding protein 47 OS=Homo sapiens OX=9606 GN=RBM47 PE=1 SV=2	17	sp|A0AV96|RBM47_HUMAN	A0AV96	A0AV96	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.234967169199756	0.162762418849363	20.4123921982503	1.35259402277649	9.1429929367117	0.208686171251517	-0.31945819571512	0.789392534114631	0.245671466677492	0.401845661913492
A0AVT1	Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	29	sp|A0AVT1|UBA6_HUMAN	A0AVT1	A0AVT1	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.289463211322004	0.181827376857904	20.5693377651261	1.55867815384329	9.1429929367117	0.152975710004917	-0.303244117946838	0.882170540590846	0.262634590887328	0.392285553390184
A0FGR8	Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	22	sp|A0FGR8|ESYT2_HUMAN	A0FGR8	A0FGR8	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.310599644188307	0.213474479539265	21.2430862270754	1.50312987802581	9.1429929367117	0.166534444649749	-0.348889751470972	0.970089039847585	0.292226397532774	0.392285553390184
A0JLT2	Mediator of RNA polymerase II transcription subunit 19 OS=Homo sapiens OX=9606 GN=MED19 PE=1 SV=2	2	sp|A0JLT2|MED19_HUMAN	A0JLT2	A0JLT2	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-0.35602132152431	0.254318286561102	19.4507336338856	-1.51482598671463	9.1429929367117	0.163594508579553	-1.10611694468147	0.394074301632849	0.332374930064176	0.392285553390184
A0MZ66	Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	33	sp|A0MZ66|SHOT1_HUMAN	A0MZ66	A0MZ66	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-0.0351476776550554	0.0749705260839724	20.9138461621316	-0.273783406349662	9.1429929367117	0.790335813953884	-0.444873072470845	0.374577717160735	0.181553451644234	0.848990137743293
A0PJW6	Transmembrane protein 223 OS=Homo sapiens OX=9606 GN=TMEM223 PE=1 SV=1	2	sp|A0PJW6|TM223_HUMAN	A0PJW6	A0PJW6	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.235414864231004	0.23955968119317	19.1568353730054	1.04806768463524	9.1429929367117	0.32152164467627	-0.481467539837101	0.95229726829911	0.3176578179639	0.469178839281996
A0PK00	Transmembrane protein 120B OS=Homo sapiens OX=9606 GN=TMEM120B PE=1 SV=1	1	sp|A0PK00|T120B_HUMAN	A0PK00	A0PK00	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-0.427651220624477	0.186474663547691	18.5545744350571	-2.26617494562907	9.1429929367117	0.0492332442704332	-1.02993289958804	0.174630458339088	0.266877081727094	0.392285553390184
A1KXE4	Myelin-associated neurite-outgrowth inhibitor OS=Homo sapiens OX=9606 GN=FAM168B PE=1 SV=1	1	sp|A1KXE4|F168B_HUMAN	A1KXE4	A1KXE4	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-0.79134629455643	0.347730106293001	19.1114917518569	-2.60697365424002	9.1429929367117	0.0280583733464715	-1.76014444516545	0.177451856052592	0.429284224056205	0.392285553390184
A1L020	RNA-binding protein MEX3A OS=Homo sapiens OX=9606 GN=MEX3A PE=1 SV=1	1	sp|A1L020|MEX3A_HUMAN	A1L020	A1L020	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.221069590557165	0.0927217650310425	19.4099840025921	1.62823024630621	9.1429929367117	0.137389055716362	-0.212258216566874	0.654397397681205	0.192011918402487	0.392285553390184
A1L0T0	2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	9	sp|A1L0T0|HACL2_HUMAN	A1L0T0	A1L0T0	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.369772312852897	0.253930343408646	19.780300199844	1.57518074354	9.1429929367117	0.149140943946398	-0.379444243571927	1.11898886927772	0.331985406735868	0.392285553390184
A1L188	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8 OS=Homo sapiens OX=9606 GN=NDUFAF8 PE=1 SV=1	1	sp|A1L188|NDUF8_HUMAN	A1L188	A1L188	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-0.402010127015152	0.458447353610772	18.9129238906607	-1.03551375561147	9.1429929367117	0.327039953742367	-1.64104774304898	0.837027489018677	0.549030054651901	0.472622424656527
A1L390	Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens OX=9606 GN=PLEKHG3 PE=1 SV=1	11	sp|A1L390|PKHG3_HUMAN	A1L390	A1L390	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.284122241431538	0.0926400513357691	18.9491825635068	2.09319245730479	9.1429929367117	0.0653636164974787	-0.14908872429738	0.717333207160456	0.191960144802784	0.392285553390184
A1X283	SH3 and PX domain-containing protein 2B OS=Homo sapiens OX=9606 GN=SH3PXD2B PE=1 SV=3	18	sp|A1X283|SPD2B_HUMAN	A1X283	A1X283	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.119594901589362	0.111426146699431	20.4633068870948	0.826462448617398	9.1429929367117	0.42958118857851	-0.342246550923742	0.581436354102465	0.204646602034122	0.55644341696489
A2RRP1	NBAS subunit of NRZ tethering complex OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=2	17	sp|A2RRP1|NBAS_HUMAN	A2RRP1	A2RRP1	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.308471844014234	0.140990572126038	18.7658879274947	1.91907340700158	9.1429929367117	0.0866777403694182	-0.20453990621986	0.821483594248328	0.227320676647158	0.392285553390184
A2RU67	Protein FAM234B OS=Homo sapiens OX=9606 GN=FAM234B PE=1 SV=1	3	sp|A2RU67|F234B_HUMAN	A2RU67	A2RU67	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-0.0597530544960252	0.218102177505138	18.8585024682362	-0.278704546932987	8.1429929367117	0.78741867549715	-0.705097878134337	0.585591769142286	0.28070985487899	0.846399841075163
A2RUS2	DENN domain-containing protein 3 OS=Homo sapiens OX=9606 GN=DENND3 PE=1 SV=2	1	sp|A2RUS2|DEND3_HUMAN	A2RUS2	A2RUS2	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.594221622938087	0.396724158017493	17.7364800353278	1.79189820220265	7.1429929367117	0.115401490549202	-0.362274246679734	1.55071749255591	0.406144659483901	0.392285553390184
A3KMH1	von Willebrand factor A domain-containing protein 8 OS=Homo sapiens OX=9606 GN=VWA8 PE=1 SV=2	18	sp|A3KMH1|VWA8_HUMAN	A3KMH1	A3KMH1	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.312589446384435	0.171064706094847	19.2954507869072	1.74753671192351	9.1429929367117	0.11396110699596	-0.258299157193599	0.883478049962469	0.252966493645208	0.392285553390184
A3KN83	Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1	27	sp|A3KN83|SBNO1_HUMAN	A3KN83	A3KN83	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.10061166013614	0.12851834771687	19.9659987468031	0.654489827177537	9.1429929367117	0.528914714899463	-0.390012335093349	0.591235655365628	0.217400436781433	0.6366123763925
A4D1E9	GTP-binding protein 10 OS=Homo sapiens OX=9606 GN=GTPBP10 PE=1 SV=1	13	sp|A4D1E9|GTPBA_HUMAN	A4D1E9	A4D1E9	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.1370786330786	0.172068533392257	19.5815586152507	0.763647779106914	9.1429929367117	0.464326193957726	-0.435822976281269	0.70998024243847	0.253858476794157	0.585181752036756
A4D1P6	WD repeat-containing protein 91 OS=Homo sapiens OX=9606 GN=WDR91 PE=1 SV=2	8	sp|A4D1P6|WDR91_HUMAN	A4D1P6	A4D1P6	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-0.0589146170885843	0.131004535123203	19.2880371233437	-0.379858035627934	9.1429929367117	0.712724254897705	-0.553914517484752	0.436085283307583	0.219339444461042	0.787120634102125
A4D1S0	Killer cell lectin-like receptor subfamily G member 2 OS=Homo sapiens OX=9606 GN=KLRG2 PE=1 SV=3	3	sp|A4D1S0|KLRG2_HUMAN	A4D1S0	A4D1S0	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-1.28971517656576	0.829492733129494	17.4092919702887	-1.89270665602797	9.1429929367117	0.0904304911198302	-3.46448786925319	0.885057516121661	0.963663697429698	0.392285553390184
A5A3E0	POTE ankyrin domain family member F OS=Homo sapiens OX=9606 GN=POTEF PE=1 SV=2	2	sp|A5A3E0|POTEF_HUMAN	A5A3E0	A5A3E0	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	2.07076724080581	1.01181594428558	22.4442451945353	2.50266399901264	9.1429929367117	0.0333341329650291	-0.570012075801201	4.71154655741282	1.17015592889052	0.392285553390184
A5D8V6	Vacuolar protein sorting-associated protein 37C OS=Homo sapiens OX=9606 GN=VPS37C PE=1 SV=2	1	sp|A5D8V6|VP37C_HUMAN	A5D8V6	A5D8V6	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-0.509610153192697	0.480441150850023	18.7471146942758	-1.25736494776751	9.1429929367117	0.239788606154694	-1.80315083897825	0.783930532592852	0.573180914139339	0.416887781157777
A5PLL7	Plasmanylethanolamine desaturase OS=Homo sapiens OX=9606 GN=PEDS1 PE=1 SV=3	2	sp|A5PLL7|PDES1_HUMAN	A5PLL7	A5PLL7	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-0.389532568904647	0.343152476204633	19.2428373071204	-1.29795854097184	9.1429929367117	0.226087966139184	-1.34735791370382	0.568292775894528	0.424422063218224	0.410153715638632
A5YKK6	CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	68	sp|A5YKK6|CNOT1_HUMAN	A5YKK6	A5YKK6	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.111792203715695	0.0888156609854487	20.8553573110529	0.833969596928875	9.1429929367117	0.425549532876131	-0.316031328634963	0.539615736066352	0.18957291877847	0.552916050427902
A6NCE7	Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens OX=9606 GN=MAP1LC3B2 PE=1 SV=1	3	sp|A6NCE7|MP3B2_HUMAN	A6NCE7	A6NCE7	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.0686447044108456	0.0617160451136828	22.5689716646612	0.555106299776692	9.1429929367117	0.592141704103818	-0.326025420747182	0.463314829568873	0.174882309932283	0.689784248804499
A6ND36	Protein FAM83G OS=Homo sapiens OX=9606 GN=FAM83G PE=1 SV=2	4	sp|A6ND36|FA83G_HUMAN	A6ND36	A6ND36	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.533603563776011	0.136715785534369	18.7894348031264	3.3708771735267	9.1429929367117	0.008062839337793	0.0283851587302156	1.03882196882181	0.223867366853103	0.392285553390184
A6NDG6	Glycerol-3-phosphate phosphatase OS=Homo sapiens OX=9606 GN=PGP PE=1 SV=1	10	sp|A6NDG6|PGP_HUMAN	A6NDG6	A6NDG6	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-0.240230287851387	0.230919909258563	21.8587436480497	-1.09895174920038	9.1429929367117	0.299883346964017	-0.937904237578567	0.457443661875793	0.309146358263157	0.454864683677694
A6NDU8	RAB7A-interacting MON1-CCZ1 complex subunit 1 OS=Homo sapiens OX=9606 GN=RIMOC1 PE=1 SV=1	2	sp|A6NDU8|RIMC1_HUMAN	A6NDU8	A6NDU8	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	-0.542273551235244	0.416677295146539	20.1202306631466	-1.52328364786871	9.1429929367117	0.161497171520874	-1.67843752144898	0.593890418978491	0.50344570543122	0.392285553390184
A6NED2	RCC1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RCCD1 PE=1 SV=1	11	sp|A6NED2|RCCD1_HUMAN	A6NED2	A6NED2	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	0.201746953135093	0.151955745574934	19.3910718831364	1.2068475266618	9.1429929367117	0.257786761147706	-0.331781948024057	0.735275854294243	0.236412032993338	0.426281802646535
A6NFI3	Zinc finger protein 316 OS=Homo sapiens OX=9606 GN=ZNF316 PE=1 SV=1	1	sp|A6NFI3|ZN316_HUMAN	A6NFI3	A6NFI3	FALSE	FALSE	Linear_Model_moderated	Treated_vs_Control	1.02791258830867	0.473703773123587	16.7651295423978	2.56938338759345	9.1429929367117	0.0298555993600416	-0.248910252363773	2.30473542898112	0.565773068487736	0.392285553390184
